id,title,description,google_product_category,product_type,link,image_link,condition,availability,price,sale_price,gender,age_group,color,size
283550762,"Dogeared Triple Karma Mixed Metals Necklace, 16""",null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/action/loadRetailerProductPage?id=283550762,https://img.shopstyle-cdn.com/pim/dc/02/dc02771a3b9f269762a6ffe31ab3575a_best.jpg,new,in stock,66 USD,0 USD,null,Adult,navy,medium
15100781,Santorelli Luxury Flat Front Wool Dress Pants,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/g/men/santorelli/luxury-flat-front-wool-dress-pants,https://img.shopstyle-cdn.com/pim/2d/2c/2d2cc927f875ab21891fe2a554897539_best.jpg,new,in stock,195 USD,195 USD,female,Adult,navy,medium
264941158,Patricia Green Greenwich,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/action/loadRetailerProductPage?id=264941158,https://img.shopstyle-cdn.com/pim/86/2e/862ecc50cf839be4055f18f116f9d8d9_best.jpg,new,in stock,62 USD,0 USD,null,Adult,navy,medium
207101329,David Yurman Women's Infinity Earrings with Diamonds in Gold,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/action/loadRetailerProductPage?id=207101329,https://img.shopstyle-cdn.com/pim/24/4d/244d3c067cfe6ac5cdd3bede9c131aa7_best.jpg,new,in stock,995 USD,0 USD,female,Adult,navy,medium
26091880,Hanky Panky Print Low Rise Thong,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/action/loadRetailerProductPage?id=26091880,https://img.shopstyle-cdn.com/pim/7c/fc/7cfcab8fb2d69062e6c84b65c6b11287_best.jpg,new,in stock,25 USD,0 USD,female,Adult,navy,medium
theurge--ac_10211502662_en-zz,ADALI BOOT,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.acodoublebay.com.au/collections/aco-double-bay-shop/products/alias-mae-adali-boot,https://images.theurge.com/aco/nXvTWfqv0AphcLYhAZfNqUdQEdo=/size/1200x1200/1200-1200/alias-mae-adali-boot-1.jpg,new,in stock,180.23 USD,0 USD,null,Adult,navy,medium
197646089,Women's Brown Leather Gloves w/Knot,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/g/women/forzieri/womens-brown-leather-gloves-w-knot,https://img.shopstyle-cdn.com/pim/b7/2b/b72b6e6a7bf31abdf5be18271ed94b16_best.jpg,new,in stock,235 USD,235 USD,female,Adult,navy,medium
107070701,Full Figure Underwire Bra,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/g/women/wacoal/full-figure-underwire-bra,https://img.shopstyle-cdn.com/pim/65/79/65790486f95355d3dd26b90277e3e0a7_best.jpg,new,in stock,52 USD,52 USD,null,Adult,navy,medium
306924739,Jessica Howard Portrait-Collar A-Line Dress,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/action/loadRetailerProductPage?id=306924739,https://img.shopstyle-cdn.com/pim/7b/8e/7b8e92ac074729424c1bedd8c26f4804_best.jpg,new,in stock,109 USD,0 USD,female,Adult,navy,medium
2743123,Golden Fleece Suspenders,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/g/men/brooks-brothers/golden-fleece-suspenders,https://img.shopstyle-cdn.com/pim/4a/5d/4a5d1ca78650b5ddea3ec805fcb881fe_best.jpg,new,in stock,128 USD,128 USD,male,Adult,navy,medium
332258954,Oakley Men's Radar Path Edge Sunglasses,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/action/loadRetailerProductPage?id=332258954,https://img.shopstyle-cdn.com/pim/27/cc/27cc53b799b7e6382b25b191a5ca9b30_best.jpg,new,in stock,60 USD,0 USD,male,Adult,navy,medium
25233,Donna Karan The Nudes Control Top Pantyhose,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/g/women/donna-karan/the-nudes-control-top-pantyhose,https://img.shopstyle-cdn.com/pim/9f/e4/9fe41f0e93c53ada42c519b5cdcf2cc1_best.jpg,new,in stock,22 USD,22 USD,null,Adult,navy,medium
2742861,BB#5 Rep Bow Tie,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/g/men/brooks-brothers/bb-5-rep-bow-tie,https://img.shopstyle-cdn.com/pim/d1/96/d19649f47e4eef2e9ccf3ba6375ba7a9_best.jpg,new,in stock,89.50 USD,89.50 USD,male,Adult,navy,medium
231087800,Roberto Coin Women's Tiny Treasures 0.17 TCW Diamond & 18K White Gold Palm Tree Pendant Necklace,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/g/women/roberto-coin/womens-tiny-treasures-0-17-tcw-diamond-18k-white-gold-palm-tree-pendant-necklace,https://img.shopstyle-cdn.com/pim/94/4d/944d8290adf80e16ab8f012a02eb9129_best.jpg,new,in stock,840 USD,840 USD,female,Adult,navy,medium
168740140,Forzieri Solid Pure Silk Satin Silk Tie,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/g/men/forzieri/solid-pure-silk-satin-silk-tie,https://img.shopstyle-cdn.com/pim/fd/fb/fdfb19d1df452eee502f442e7f3f6b58_best.jpg,new,in stock,126 USD,126 USD,male,Adult,navy,medium
